term,mean_tfidf
glad,0.0027688330907298577
week,0.002765437673930446
13,0.0027618269007391783
net,0.002761416721839192
card,0.0027611912314462568
yes,0.002737483421910578
id,0.0027357332912127854
question,0.0027302809675178123
deal,0.0027242184320581584
17,0.0027204226281420316
py,0.0027138237925608535
future,0.002704699988433361
states,0.0027020068422940334
23,0.002700604863960508
story,0.0026975119201900675
product,0.0026875789788857376
box,0.002680122780540646
yahoo,0.0026680676554433807
says,0.0026643445782282486
fax,0.0026583537961078056
getting,0.0026560753106117862
having,0.0026542323360539666
place,0.0026436442191293823
simply,0.002640501589681425
immediately,0.002635631944538486
making,0.0026333261700009925
main,0.0026299483259435066
19,0.0026140105071483627
ok,0.0026097515227829146
com aug,0.0026034941104416836
signature,0.002602885367541645
private,0.002601691834039215
ren,0.0025985530735881364
huge,0.002593068434245089
cy,0.0025815400504003013
sa,0.00257632107429511
matter,0.002574694798644697
begin,0.0025649609419479934
58,0.0025627391115139045
com aug 2008,0.002552427160480814
cost,0.0025496667277903253
shipping,0.002537604869384773
inches,0.0025369145841638305
head,0.00253342013444196
write,0.0025285507096846514
point,0.0025276903225250045
called,0.00252608520437097
actually,0.0025250912928338094
privacy policy,0.0025209345126964255
easy,0.0025192422931736864
experience,0.002517042091696504
summer,0.002515906351637254
important,0.002513532566831991
url date,0.00251074425056193
forward,0.0025083942239316694
africa,0.0025036864696641697
state,0.0025007014591361216
22,0.00249583339544051
trust,0.0024950580223048625
investment,0.002486388015865151
personal life,0.0024812019080848705
url url date,0.002480776551251944
website,0.0024794508773425318
believe,0.0024750747324032013
arrested,0.0024689903002854275
url url url,0.002462776494192207
papers,0.0024603765890235446
oil,0.0024602521233444657
conference,0.0024565088380650714
plane,0.0024499003640777403
program,0.0024450849173695247
rpm,0.002431962080174584
solution,0.0024259561169473164
tell,0.0024215141989388967
learn,0.0024207139119169657
21,0.0024167866589510294
mccain,0.002398941023011775
tool,0.002394248863544511
work think,0.002393342227879829
os,0.002392998708399465
wish,0.0023873913211188667
40,0.002380909170635121
assist,0.0023807408688707064
life glad,0.002380640192166342
personal life glad,0.002380640192166342
site details,0.0023801325660159065
kind,0.0023759487682844306
non,0.002375935545924645
including,0.0023726916458863723
bit,0.0023721029428080253
current,0.002367282124785777
hello,0.0023588839179490197
feel,0.0023585371997434253
services,0.002357172517069591
info,0.002356282097696827
hard,0.002353152531503819
ma,0.002352060362989564
form,0.002347013857149638
trying,0.0023436621357657544
mark,0.0023399705063873685
break,0.002328879565454984
application,0.002324632756442314
machine,0.0023233825150823363
medications,0.0023216571154378697
99,0.0023216176950781745
response,0.0023167554426831035
claim,0.0023128330016783365
short,0.0023123739117968402
natural,0.0023080148105088486
reports,0.0023027620801513854
confidential,0.002301625234074014
months,0.0022986862118943127
google,0.0022920645264799286
secure,0.002289100097852545
second,0.0022856770097529067
50,0.0022763959810750247
total,0.002272330897340195
pgp signature,0.0022667236333268133
trusted,0.002260805027412543
gets,0.0022572748550149678
times,0.0022548390083145927
low,0.0022547068384311955
email address,0.0022538825792553442
shall,0.002250128271988592
04,0.0022476290074060165
instead,0.002242184784888487
suggestions,0.0022397649871977498
begin pgp,0.0022383711902458888
easily,0.0022383462866406114
lib,0.0022376525481066505
care,0.0022346029529851765
bad,0.002231136806283204
include,0.0022261869532741356
guidelines,0.0022260821079659737
probably,0.0022257945048518844
october,0.002225542106031367
interested,0.0022234958241160946
guido,0.002223434844538666
directory,0.002220216499478033
doing,0.0022144942426302948
offers,0.002212283804251879
follow,0.0022067996702913287
god,0.0022047387619694406
changes,0.0022011623928574627
share,0.0021991775661879113
shop,0.0021979519474859734
big,0.0021977731636090895
url read,0.0021938171348494765
foo,0.002191287316691368
night,0.0021870050596191786
simple,0.0021853900452604258
hope,0.0021777282975304233
mom,0.0021763362406334173
south,0.002171264369022547
february,0.0021680957369324175
soros,0.0021648351076756526
happy,0.0021591481288611484
project,0.0021588271475977117
06,0.002158270193476381
29,0.002157258764711773
report,0.0021569684438917515
brands,0.0021567357619853007
canadian,0.002154428060912109
heart,0.0021542543845303663
think health personal,0.0021534343272302417
think health,0.0021534343272302417
health personal life,0.0021534343272302417
health personal,0.0021534343272302417
work think health,0.0021534343272302417
death,0.0021486708946257048
learning,0.0021455917970595725
2005,0.0021445497779687683
remove,0.0021432082674024155
manager,0.0021384100415159923
attack,0.0021361064574665183
won,0.002134806061508739
longer,0.0021327417419046532
view privacy,0.0021317057065084076
murder,0.0021299295283725363
example,0.0021278205915863544
05,0.0021253980713014163
applications,0.0021240808867721275
domain,0.0021228154133678123
har,0.0021226859755566676
weeks,0.0021225606607295716
frequency,0.00212191241077482
member,0.002118509340536756
view privacy policy,0.0021173067591926447
alter,0.00211721379602436
cheers,0.0021145052699025526
decided,0.002108734422172321
science,0.0021073764758548605
woman,0.002104258418557728
criteria,0.0021029245715094773
course,0.002101810253012073
value,0.0020988986233366914
fri aug,0.002093692224908812
class,0.0020926000550208325
friend,0.0020895825419151516
idea,0.0020890647340063248
policy terms,0.0020886825783957156
privacy policy terms,0.0020886825783957156
manage settings click,0.00208819436477304
story agreed receive,0.00208819436477304
network time,0.00208819436477304
network cnn,0.00208819436477304
network cnn center,0.00208819436477304
rights reserved view,0.00208819436477304
criteria frequency,0.00208819436477304
story agreed,0.00208819436477304
news network cnn,0.00208819436477304
news network time,0.00208819436477304
custom email,0.00208819436477304
receiving custom,0.00208819436477304
alter alert criteria,0.00208819436477304
alter alert,0.00208819436477304
email alerts click,0.00208819436477304
criteria frequency unsubscribe,0.00208819436477304
network time warner,0.00208819436477304
receiving custom email,0.00208819436477304
email alerts,0.00208819436477304
unsubscribe receiving custom,0.00208819436477304
click alter alert,0.00208819436477304
reserved view privacy,0.00208819436477304
reserved view,0.00208819436477304
click alter,0.00208819436477304
frequency unsubscribe,0.00208819436477304
custom email alerts,0.00208819436477304
settings click,0.00208819436477304
alerts click,0.00208819436477304
frequency unsubscribe receiving,0.00208819436477304
cnn alerts,0.00208819436477304
settings click alter,0.00208819436477304
alert criteria frequency,0.00208819436477304
unsubscribe receiving,0.0020873537120484355
alert criteria,0.0020867550955836166
additional,0.0020860463835249035
understand,0.0020860177618518003
edt,0.0020827998847106426
perfect,0.002078471819393931
usr,0.002077060884598451
click cable,0.002076453181035588
click cable news,0.002076453181035588
alerts click cable,0.002076453181035588
ago,0.0020761121136107373
department,0.0020744417785164677
password,0.0020724042698865284
specific,0.002071816782132102
management,0.0020679060170851883
custom alert alert,0.0020636562871914343
alerts custom alert,0.0020636562871914343
alerts custom,0.0020636562871914343
alert custom,0.0020636562871914343
alert alert custom,0.0020636562871914343
cnn alerts custom,0.0020636562871914343
alert alert,0.0020636562871914343
alert custom alert,0.0020636562871914343
content type,0.002056410330169191
ready,0.0020542081114537335
pay,0.002050563433294011
watches url,0.002049459651991723
stop,0.0020437797696529684
wrong,0.002041846203321732
credit,0.0020390258321505896
president,0.002038256266220719
september,0.002037381238957175
03,0.0020370997820219586
26,0.0020337405198215873
win32,0.0020328428245343336
paper,0.002027645347130391
answer,0.002024300167906328
28,0.0020186746503520676
fri aug 2008,0.002012616924481847
unsubscribe daily,0.0020031747486322425
talk,0.002002986534333771
died,0.002000914146551354
module,0.0020000914997643417
manhood,0.0019982674999548884
pleasure,0.00199747004458738
quick,0.001994009363751744
status,0.001994004633517033
log,0.0019917925114479014
58 pm,0.001991385042267248
es,0.0019900458022925403
thought,0.0019858441693773494
standard,0.001984060867641964
required,0.001983618644054405
maybe,0.001982470201004637
print,0.001976637869394586
pm edt,0.0019766194694220483
range,0.0019755732628271854
small,0.00197542123266745
fixed,0.0019750444151447524
deposit,0.0019747327722762628
search,0.001974362348004644
anthrax,0.0019738694448849475
paris,0.0019712771331696576
team,0.001971260365243697
2008 58,0.0019705033259851713
united states,0.001967257702102564
attached,0.0019660529533526115
removed,0.0019632963329339844
url agreed,0.0019622254065673563
true,0.001961997991451719
exactly,0.001960542707016989
read privacy,0.0019592681181343366
issues,0.0019588427844558914
send comments,0.0019565459648841895
2008 58 pm,0.0019563642800389486
comments suggestions,0.0019558793623122212
64,0.001954770447812707
anthrax suspect,0.0019522256629863476
junior,0.0019508241079843262
10 url,0.0019493088133807315
script,0.001946379010483947
pharmacy,0.0019459439296709894
currently,0.0019453591117507014
going url agreed,0.0019442221342075767
settings url unsubscribe,0.0019442221342075767
comments suggestions going,0.0019442221342075767
going url read,0.0019442221342075767
aug 2008 58,0.0019442221342075767
news cable,0.0019442221342075767
10 stories,0.0019442221342075767
news cable news,0.0019442221342075767
read privacy guidelines,0.0019442221342075767
pm edt 10,0.0019442221342075767
reserved send,0.0019442221342075767
send comments suggestions,0.0019442221342075767
daily 10 url,0.0019442221342075767
cnn com videos,0.0019442221342075767
cnn trusted,0.0019442221342075767
daily 10 cnn,0.0019442221342075767
cnn trusted news,0.0019442221342075767
unsubscribe daily 10,0.0019442221342075767
trusted news cable,0.0019442221342075767
trusted news,0.0019442221342075767
reserved send comments,0.0019442221342075767
videos stories aug,0.0019442221342075767
com videos stories,0.0019442221342075767
url cnn trusted,0.0019442221342075767
rights reserved send,0.0019442221342075767
privacy guidelines going,0.0019442221342075767
url unsubscribe daily,0.0019442221342075767
lp lllp cnn,0.0019442221342075767
guidelines going,0.0019442221342075767
videos stories,0.0019442221342075767
lp lllp time,0.0019442221342075767
guidelines going url,0.0019442221342075767
stories aug 2008,0.0019442221342075767
stories aug,0.0019442221342075767
edt 10,0.0019442221342075767
edt 10 videos,0.0019442221342075767
url cnn,0.0019442221342075767
10 videos,0.0019442221342075767
suggestions going,0.0019442221342075767
lllp time warner,0.0019442221342075767
url 10 stories,0.0019442221342075767
com videos,0.0019442221342075767
lllp cnn,0.0019442221342075767
lllp cnn center,0.0019442221342075767
lllp time,0.0019442221342075767
suggestions going url,0.0019442221342075767
url read privacy,0.0019442221342075767
privacy guidelines,0.0019442221342075767
58 pm edt,0.0019442221342075767
url agreed receive,0.0019442221342075767
10 cnn,0.0019442221342075767
